Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Cloners),Outward issue link (Duplicate),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Issue split),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Problem/Incident),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (1. Old Solution Notes),Custom field (Acceptance Criteria),Custom field (Additional Information),Custom field (Additional Information 2),Custom field (Additional Information 3),Custom field (Assumptions),Custom field (Assumptions),Custom field (Assumptions),Custom field (Blocked 'Other'),Custom field (Blocked Date),Custom field (Blocked Reason),Custom field (Blockers),Custom field (Bug Source),Custom field (Business Capability),Custom field (Business Owner),Custom field (Business Value),Custom field (Calor Approved By),Custom field (Category),Custom field (Complexity),Custom field (Development),Custom field (Discovered in build version:),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (External Idenitifier),Custom field (External issue ID),Custom field (External issue ID),Custom field (External issue ID),Custom field (FRD Ref),Custom field (Fixed in Build Version),Custom field (Flagged),Custom field (Flagged),Custom field (Issue color),Custom field (MP Comments),Custom field (MoSCoW),Custom field (OOTB?),Custom field (Original Scope?),Custom field (Pre-Sales Notes),Custom field (Process),Custom field (Product),Custom field (Project Manager Actual),Custom field (Project Manager Estimate),Custom field (QA Actual),Custom field (QA Estimate),Custom field (Rank),Custom field (Reason(s) for Defect),Custom field (Record Types),Custom field (Release Manager Actual),Custom field (Release Manager Estimate),Custom field (Release Status),Custom field (Request Type),Custom field (Request participants),Custom field (Resource Type),Custom field (Role),Satisfaction rating,Custom field (Satisfaction Rating),Custom field (Side Notes),Custom field (Side Notes),Custom field (SoW Reference),Custom field (Solution Notes),Custom field (Solution Notes),Custom field (Source/Event),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Sprint Dependencies),Custom field (Start date),Custom field (Story Owner),Custom field (Story Points),Custom field (Story point estimate),Custom field (Summary),Custom field (Target Resolution Date),Custom field (Total Actual),Custom field (Total Estimate),Custom field (Unblocked Date),Custom field (Updated Description),Custom field (Updated Summary),Custom field (Work Type),Custom field ([CHART] Date of First Response),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Configuration for Operating Hours (Part of CG-405),CG-912,50561,Story,Calor QA,CG,Calor Gas Phase 1,software,abbas.mir,,,High,,Les.Mason,removed53,removed53,09/Feb/18 7:49 AM,17/Jul/18 7:43 AM,24/Sep/19 12:21 PM,,,0,,,"Create a new field in Global Switch : DeactivateDPAssignementOperatingHoursTrigger

Create a custom field on Operating Hours to concatenate the TimeSlots. This field will be hidden from the page layout.
",,alexey.ovriakh,urmila.pawar,yogesh.garg,,,,,,,;15/Feb/18 9:50 AM;removed53;14400,;15/Feb/18 2:34 PM;removed53;14400,;07/Mar/18 12:09 PM;yogesh.garg;3600,,,,,,,,,,,,,0,32400,,,0,32400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A new field on Global Switch : DeactivateDPAssignementOperatingHoursTrigger

A new field 'Signature' on Operating Hours. But the field will not be visible on page layout",,,,,,,,,,,,,,,,,,{},,,CG-3,,,,,,,,,Unapproved,,,,,,,,,,,,,,1|hzy1gf:,,,,,,,,,,,,,,,,,,Sprint 5,Sprint 6,Sprint 7,Sprint 8,,,,,,,,,,,,,,,,,2018-03-07 07:57:52.015,07/Mar/18 7:57 AM;yogesh.garg;User story tested and working as expected.,16/Mar/18 5:18 PM;alexey.ovriakh;[~mayur.vats] deployed to SIT - ready for smoke testing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
To Verify Contract Object Page Layout and Access permissions for Customer Support Profile User,CG-913,50569,Test,Not Started,CG,Calor Gas Phase 1,software,abbas.mir,,,Medium,,mayur.vats,yogesh.garg,yogesh.garg,09/Feb/18 10:04 AM,17/Mar/18 3:00 PM,24/Sep/19 12:21 PM,,,0,Calor-QuotetoCash-Tests,,To Verify Contract Object Page Layout and Access permissions for Customer Support Profile User,,yogesh.garg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CG-59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"As a user logged in with the Customer Support Profile: 
  1. Is the contract information accessible on the page layout when I am creating a new contract? 
  2. Am I prevented from editing the read only fields assigned to my profile? 
  3. Can I amend the contract information on the contract record on Edit? 
  4. If I removed the value from a mandatory field am I prevented from saving? 
  5. If I change the value from a mandatory field can I still save? 
  6. Can I progress the opportunity through the sales process lifecycle? 
  7. Am I prevented from deleting a contract? ",,,,,,,,,,,,,,,,,,{},,,CG-4,,,,,,,,,Unapproved,,,,,,,,,,,,,,1|hzy1hz:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
To Verify Contract Object Page Layout and Access permissions for Sales Profile User,CG-914,50570,Test,Not Started,CG,Calor Gas Phase 1,software,abbas.mir,,,Medium,,,yogesh.garg,yogesh.garg,09/Feb/18 10:12 AM,17/Mar/18 3:00 PM,24/Sep/19 12:21 PM,,,0,Calor-QuotetoCash-Tests,,To Verify Contract Object Page Layout and Access permissions for Sales Profile User,,yogesh.garg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CG-578,,,,,,,,,,,,,,,,,,,,,,,,,,,,CG-59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"As a user logged in with the Sales User Profile: 
  1. Is the contract information accessible on the page layout when I am creating a new contract? 
  2. Am I prevented from saving the record without completing the contract mandatory fields? 
  3. Can I proceed with saving the record when I complete the contract mandatory fields? 
  4. As an contract owner, am I prevented from editing the read only fields assigned to my profile? 
  5. As an contract non-owner, am I prevented from editing the record? 
  6. As an contract owner, can I amend the contract information on the contract record on Edit? 
  7. If I removed the value from a mandatory field am I prevented from saving? 
  8. If I change the value from a mandatory field can I still save? 
  9. As the contract owner, can I transfer the record? 
 10. As the contract non-owner, am I prevented from transferring the record? 
 11. As the contract owner, can I progress the contract through the sales process lifecycle? 
 12. As the contract non-owner, am I prevented from progressing the contract through the sales process lifecycle? 
 13. Am I prevented from deleting a contract? ",,,,,,,,,,,,,,,,,,{},,,CG-4,,,,,,,,,Unapproved,,,,,,,,,,,,,,1|hzy1i7:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"To Verify Contract Object Page Layout and Access permissions for ""Control User"" Profile User",CG-915,50571,Test,Not Started,CG,Calor Gas Phase 1,software,abbas.mir,,,Medium,,mayur.vats,yogesh.garg,yogesh.garg,09/Feb/18 10:20 AM,17/Mar/18 3:00 PM,24/Sep/19 12:21 PM,,,0,Calor-QuotetoCash-Tests,,"To Verify Contract Object Page Layout and Access permissions for ""Control User"" Profile User",,yogesh.garg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CG-580,,,,,,,,,,,,,,,,,,,,,,,,,,,,CG-59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"As a user logged in with the Control Profile: 
  1. Is the contract information accessible on the page layout when I am viewing a contract? 
  2. Am I prevented from editing a contract? 
  3. Am I prevented from deleting a contract? 
  4. Am I prevented from creating a contract? ",,,,,,,,,,,,,,,,,,{},,,CG-4,,,,,,,,,Unapproved,,,,,,,,,,,,,,1|hzy1if:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
To Verify Contract Object Page Layout and Access permissions for System Administrator Profile User,CG-916,50572,Test,Not Started,CG,Calor Gas Phase 1,software,abbas.mir,,,Medium,,mayur.vats,yogesh.garg,yogesh.garg,09/Feb/18 10:58 AM,17/Mar/18 3:00 PM,24/Sep/19 12:21 PM,,,0,Calor-QuotetoCash-Tests,,To Verify Contract Object Page Layout and Access permissions for System Administrator Profile User,,yogesh.garg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CG-581,,,,,,,,,,,,,,,,,,,,,,,,,,,,CG-59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"As a user logged in with the System Administrator Profile: 
  1. Is the contract information accessible on the page layout when I am creating a new contract? 
  2. Am I prevented from saving the record without completing the contract mandatory fields? 
  3. Can I proceed with saving the record when I complete the contract mandatory fields? 
  4. Am I prevented from editing the read only fields assigned to my profile? 
  5. As an contract owner, can I amend the contract information on the contract record on Edit? 
  6. If I removed the value from a mandatory field am I prevented from saving? 
  7. If I change the value from a mandatory field can I still save? 
  8. Can I transfer the record? 
  9. Can I progress the contract through the sales process lifecycle? 
 13. Can I delete a contract? ",,,,,,,,,,,,,,,,,,{},,,CG-4,,,,,,,,,Unapproved,,,,,,,,,,,,,,1|hzy1in:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"To verify whether Sales user as contract owner, can transfer the record ",CG-917,50574,Test,Not Started,CG,Calor Gas Phase 1,software,abbas.mir,,,Medium,,,yogesh.garg,yogesh.garg,09/Feb/18 11:38 AM,17/Mar/18 3:00 PM,24/Sep/19 12:21 PM,,,0,Calor-QuotetoCash-Tests,,"To verify whether Sales user as contract owner, can transfer the record ",,yogesh.garg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CG-59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"As a user logged in with the Sales User Profile: 
 
9. As the contract owner, can I transfer the record? ",,,,,,,,,,,,,,,,,,{},,,CG-4,,,,,,,,,Unapproved,,,,,,,,,,,,,,1|hzy1iv:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"To verify whether Sales user as contract non-owner, cann't transfer the record ",CG-918,50575,Test,Not Started,CG,Calor Gas Phase 1,software,abbas.mir,,,Medium,,,yogesh.garg,yogesh.garg,09/Feb/18 11:38 AM,17/Mar/18 3:00 PM,24/Sep/19 12:21 PM,,,0,Calor-QuotetoCash-Tests,,"To verify whether Sales user as contract non-owner, cann't transfer the record ",,yogesh.garg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CG-59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"As a user logged in with the Sales User Profile: 
 
10. As the contract non-owner, am I prevented from transferring the record? ",,,,,,,,,,,,,,,,,,{},,,CG-4,,,,,,,,,Unapproved,,,,,,,,,,,,,,1|hzy1j3:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
To verify whether System Admin user can transfer any contract record ,CG-919,50576,Test,Not Started,CG,Calor Gas Phase 1,software,abbas.mir,,,Medium,,,yogesh.garg,yogesh.garg,09/Feb/18 11:38 AM,17/Mar/18 3:00 PM,24/Sep/19 12:21 PM,,,0,Calor-QuotetoCash-Tests,,To verify whether System Admin user can transfer any contract record ,,yogesh.garg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CG-59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"As a user logged in with the System Administrator Profile: 

8. Can I transfer the record?",,,,,,,,,,,,,,,,,,{},,,CG-4,,,,,,,,,Unapproved,,,,,,,,,,,,,,1|hzy1jb:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"To verify whether Sales user as contract owner, can progress the contract through the sales process lifecycle",CG-920,50577,Test,Not Started,CG,Calor Gas Phase 1,software,abbas.mir,,,Medium,,,yogesh.garg,yogesh.garg,09/Feb/18 11:38 AM,17/Mar/18 3:00 PM,24/Sep/19 12:21 PM,,,0,Calor-QuotetoCash-Tests,,"To verify whether Sales user as contract owner, can progress the contract through the sales process lifecycle",,yogesh.garg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CG-59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"As a user logged in with the Sales User Profile: 

 11. As the contract owner, can I progress the contract through the sales process lifecycle? 
",,,,,,,,,,,,,,,,,,{},,,CG-4,,,,,,,,,Unapproved,,,,,,,,,,,,,,1|hzy1jj:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"To verify whether Sales user as contract owner, cann't progress the contract through the sales process lifecycle",CG-921,50578,Test,Not Started,CG,Calor Gas Phase 1,software,abbas.mir,,,Medium,,,yogesh.garg,yogesh.garg,09/Feb/18 11:38 AM,17/Mar/18 3:00 PM,24/Sep/19 12:21 PM,,,0,Calor-QuotetoCash-Tests,,"To verify whether Sales user as contract owner, cann't progress the contract through the sales process lifecycle",,yogesh.garg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CG-59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"As a user logged in with the Sales User Profile: 

12. As the contract non-owner, am I prevented from progressing the contract through the sales process lifecycle? ",,,,,,,,,,,,,,,,,,{},,,CG-4,,,,,,,,,Unapproved,,,,,,,,,,,,,,1|hzy1jr:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
To verify whether System Admin user can progress the contract through the sales process lifecycle,CG-922,50579,Test,Not Started,CG,Calor Gas Phase 1,software,abbas.mir,,,Medium,,,yogesh.garg,yogesh.garg,09/Feb/18 11:38 AM,17/Mar/18 3:00 PM,24/Sep/19 12:21 PM,,,0,Calor-QuotetoCash-Tests,,To verify whether System Admin user can progress the contract through the sales process lifecycle,,yogesh.garg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CG-59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"As a user logged in with the System Administrator Profile: 

9. Can I progress the contract through the sales process lifecycle? ",,,,,,,,,,,,,,,,,,{},,,CG-4,,,,,,,,,Unapproved,,,,,,,,,,,,,,1|hzy1jz:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delete AvoidRecursion.cls - Fix Code Coverage Issues,CG-923,50588,Task,Complete,CG,Calor Gas Phase 1,software,abbas.mir,,,Medium,Done,alexey.ovriakh,alexey.ovriakh,alexey.ovriakh,09/Feb/18 3:06 PM,01/Mar/18 12:05 PM,24/Sep/19 12:21 PM,11/Feb/18 11:40 PM,,0,,,-,,alexey.ovriakh,,,,,,,,,;13/Feb/18 10:04 AM;alexey.ovriakh;3600,,,,,,,,,,,,,,,0,3600,,,0,3600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,{},,,,,,,,,,,,,,,,,,,,,,,,,,1|hzy1lb:,,,,,,,,,,,,,,,,,,Sprint 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
To verify Product Configurations from Sales User profile,CG-924,50589,Test,Not Started,CG,Calor Gas Phase 1,software,abbas.mir,,,Medium,,kunal.narula,kunal.narula,kunal.narula,09/Feb/18 3:24 PM,17/Mar/18 3:00 PM,24/Sep/19 12:21 PM,,,0,Calor-QuotetoCash-Tests,,Sales user can verify the product configurations,,kunal.narula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/Feb/18 3:51 PM;kunal.narula;Add Products.png;https://makepositive.atlassian.net/secure/attachment/35081/Add+Products.png,09/Feb/18 3:49 PM;kunal.narula;Change Product Quantity.png;https://makepositive.atlassian.net/secure/attachment/35079/Change+Product+Quantity.png,09/Feb/18 3:53 PM;kunal.narula;Permission Set.png;https://makepositive.atlassian.net/secure/attachment/35082/Permission+Set.png,09/Feb/18 3:49 PM;kunal.narula;Product Bundle.png;https://makepositive.atlassian.net/secure/attachment/35078/Product+Bundle.png,09/Feb/18 3:50 PM;kunal.narula;Select Products..png;https://makepositive.atlassian.net/secure/attachment/35080/Select+Products..png,,,,,,,,,,,,,,,"As a user assigned to the Sales User Profile with access to CPQ: 
1. Can I view and select Cylinder products and associated installation items? 
2. Can I change the quantity of the items? 
3. Can I select a product bundle? 
4. Is the Demurrage product only available for the Pheasant Pricebook? ",,,,,,Sales user has access to the CPQ objects and have all the permission sets assigned to its profile.,,,,,,,,,,,,{},,,CG-4,,,,,,,,,Unapproved,,,,,,,,,,,,,,1|hzy1lj:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/Feb/18 3:54 PM;kunal.narula;*Note*: Only standard Pricebook is used. Please refer to comments of CG-407 for same.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
To verify Product Configurations from System Admin User profile,CG-925,50595,Test,Not Started,CG,Calor Gas Phase 1,software,abbas.mir,,,Medium,,kunal.narula,kunal.narula,kunal.narula,09/Feb/18 3:56 PM,17/Mar/18 3:00 PM,24/Sep/19 12:21 PM,,,0,Calor-QuotetoCash-Tests,,user can verify the product configurations,,kunal.narula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09/Feb/18 4:03 PM;kunal.narula;Screen Shot 2018-02-09 at 9.29.30 PM.png;https://makepositive.atlassian.net/secure/attachment/35083/Screen+Shot+2018-02-09+at+9.29.30+PM.png,,,,,,,,,,,,,,,,,,,"As a user assigned to the System Administrator profile with CPQ Admin rights: 
1. Can I amend the product offerings?",,,,,,user has access to the CPQ objects and have all the permission sets assigned to its profile,,,,,,,,,,,,{},,,CG-4,,,,,,,,,Unapproved,,,,,,,,,,,,,,1|hzy1lr:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delivery charge is not added to Products,CG-926,50603,Bug,BAT,CG,Calor Gas Phase 1,software,abbas.mir,,,Medium,,mayur.vats,kunal.narula,kunal.narula,12/Feb/18 5:45 AM,24/May/18 2:57 PM,24/Sep/19 12:21 PM,,,0,Bug,,"Hi [~jack.holliday] can you please check why delivery charges are not added to the products. I believe this was dependent on CG-99 related to Product Rules. Now this US has been deployed in QA, the delivery charge functionality should work.

We can discuss this over a call.

*Quote* : https://calor-gb--discovery.lightning.force.com/one/one.app#/sObject/a185E000000NMnjQAG/view
*Sandbox*: QA
*User* : Sales User ",,alexey.ovriakh,jack.holliday,kunal.narula,mayur.vats,,,,,,Verified in SIT.;14/Mar/18 7:32 PM;kunal.narula;3600,,,,,,,,,,,,,,,0,3600,,,0,3600,,CG-196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CG-849,CG-869,CGP2-1233,,,,,,,,,,,,,,,,,,,,,12/Feb/18 5:44 AM;kunal.narula;Screen Shot 2018-02-12 at 11.13.15 AM.png;https://makepositive.atlassian.net/secure/attachment/35087/Screen+Shot+2018-02-12+at+11.13.15+AM.png,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,{},,,CG-4,,,,,,,,,Unapproved,,,,,,,,,,,,,,1|hzy1lz:,Deployment,,,,,,,,,,,,,,,,,Sprint 5,Sprint 6,Sprint 7,Sprint 8,,,,,,,,,,,,,,,,,2018-02-12 08:58:09.72,"12/Feb/18 8:58 AM;jack.holliday;Product rules are still not available in Discovery sandbox. 
[~alexey.ovriakh] when is the data pipeline going to push the product rules into discovery?

Blocking testing for CG-99 and CG-196 

CC: [~stephanie.stylianou]",12/Feb/18 10:19 AM;alexey.ovriakh;[~jack.holliday] let me check,"12/Feb/18 10:37 AM;alexey.ovriakh;[~jack.holliday] Products, Feature, Options and Pricebook Entries were uploaded, not Product Rules. Could you clarify what other objects need to be uploaded?",12/Feb/18 1:55 PM;jack.holliday;[~alexey.ovriakh] please let [~kunal.narula] know when the product rules are available. ,"12/Feb/18 3:08 PM;alexey.ovriakh;Deployed Product Rules [~jack.holliday] [~kunal.narula] 

Kunal, Jack is going to do a sanity check to make sure that data migration went well. Once Jack confirms that QA is okay, then you can start testing them.

Thanks!

","12/Feb/18 3:58 PM;jack.holliday;[~kunal.narula] completed a sanity check and all the product rules and products are available and up to date. And did a test with a quote and building products. 

Should be ok to test CG-99 and CG-196 now 

cc: [~alexey.ovriakh]","14/Feb/18 2:17 PM;kunal.narula;Thanks [~jack.holliday] This bug is QA verified.

cc [~alexey.ovriakh] [~mayur.vats]",22/Feb/18 1:41 AM;alexey.ovriakh;[~mayur.vats] deployed to UAT - ready for smoke testing,14/Mar/18 7:31 PM;kunal.narula;Verified in SIT.,19/Mar/18 2:07 PM;mayur.vats;SIT Verified.,22/Mar/18 9:28 AM;alexey.ovriakh;[~mayur.vats] deployed to UAT - ready for smoke testing,,,,,,,,,,,,,,,,,,,,,,,,,,
To verify Sales User can change the Account - Contact relationship role,CG-927,50604,Test,Not Started,CG,Calor Gas Phase 1,software,abbas.mir,,,Medium,,kunal.narula,kunal.narula,kunal.narula,12/Feb/18 10:43 AM,17/Mar/18 2:41 PM,24/Sep/19 12:21 PM,,,0,Calor-SCVTests,,"As a User assigned to the Sales User Profile: 
1. Can I view who my account holder(s) are against the account? 
2. Can I view whether a contact is an account holder from the contact record? 
3. While the account is in prospect status, am I allowed to change the relationship role if the relationship is account holder? 
3b. If the account is active, am I prevented from changing the relationship role if the relationship is account holder? 
4. Am I allowed to change the relationship role if the relationship is not account holder? ",,kunal.narula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/Feb/18 11:14 AM;kunal.narula;Check Role.png;https://makepositive.atlassian.net/secure/attachment/35092/Check+Role.png,12/Feb/18 11:14 AM;kunal.narula;Error message.png;https://makepositive.atlassian.net/secure/attachment/35093/Error+message.png,12/Feb/18 11:14 AM;kunal.narula;New Contact.png;https://makepositive.atlassian.net/secure/attachment/35095/New+Contact.png,12/Feb/18 11:14 AM;kunal.narula;View Relationship.png;https://makepositive.atlassian.net/secure/attachment/35094/View+Relationship.png,,,,,,,,,,,,,,,,"As a User assigned to the Sales User Profile: 
1. Can I view who my account holder(s) are against the account? 
2. Can I view whether a contact is an account holder from the contact record? 
3. While the account is in prospect status, am I allowed to change the relationship role if the relationship is account holder? 
3b. If the account is active, am I prevented from changing the relationship role if the relationship is account holder? 
4. Am I allowed to change the relationship role if the relationship is not account holder? ",,,,,,Sales user has access to the Org.,,,,,,,,,,,,{},,,CG-3,,,,,,,,,Unapproved,,,,,,,,,,,,,,1|hzy1m7:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
